Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
18:20:30 Jan 05 2021,94,73,0,0,0
18:20:32 Jan 05 2021,94,72,0,0,0
18:20:34 Jan 05 2021,94,72,0,0,0
18:20:36 Jan 05 2021,94,74,0,0,0
18:20:38 Jan 05 2021,94,74,0,0,0
18:20:40 Jan 05 2021,94,74,0,0,0
18:20:42 Jan 05 2021,93,72,0,0,0
18:20:44 Jan 05 2021,93,72,0,0,0
18:20:46 Jan 05 2021,93,70,0,0,0
18:20:48 Jan 05 2021,93,71,1,0,0
18:20:50 Jan 05 2021,93,72,0,0,0
18:20:52 Jan 05 2021,93,65,1,0,0
18:20:54 Jan 05 2021,93,64,0,0,0
18:20:56 Jan 05 2021,93,63,0,0,0
18:20:58 Jan 05 2021,92,67,0,0,0
18:21:00 Jan 05 2021,92,68,0,0,0
18:21:02 Jan 05 2021,91,71,1,0,0
18:21:04 Jan 05 2021,91,72,0,0,0
18:21:06 Jan 05 2021,91,72,0,0,0
